N,P,K,temperature,humidity,ph,rainfall,Soil moisture,Soil temperature,Wind speed,Daily Light Integral,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,88.03872059,31.82854282,1.892905268,16.34766184,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,79.503274,34.41845321,2.797165042,23.58066895,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,86.14329583,32.8593397,1.970927882,19.39875911,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,63.644394,30.98455004,1.919235219,20.75134315,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,87.37277621,34.00002744,1.320308446,15.88426838,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,60.93930109,30.71691308,2.438790091,15.47124584,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,79.59859111,28.52665202,2.375228613,18.28453227,rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,65.33894038,33.76351123,2.161978883,22.85527674,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,88.12151817,34.25979586,1.470134563,15.20889381,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,77.53812847,25.3207645,2.596058839,20.27770661,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,81.05870368,25.85363292,1.13758539,20.37051431,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,66.66192506,32.92894702,1.413285899,23.65794494,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,78.84677723,25.76018576,1.305266937,21.48894927,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,88.21024946,28.26487913,2.403881695,15.21475365,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,60.86653823,29.83349035,1.182516255,23.85390057,rice
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,74.08600874,31.21869699,2.715473341,15.77827814,rice
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,78.97540477,32.56538324,2.944642613,22.47881046,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,64.0797422,34.78760355,2.999633744,18.66125464,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,64.41553665,29.08478948,1.933923573,17.81950751,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,76.36641645,33.90376105,2.799511887,15.68247652,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,61.00941974,28.82855765,1.241979343,22.21360808,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,73.61142227,33.26659891,1.523576565,23.64374902,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,70.8294409,28.2646292,2.631181654,18.50153495,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,68.82545006,32.19783437,1.954899935,16.19954467,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,69.39108979,32.03022586,1.183364078,16.17057795,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,87.65916948,25.66524316,1.295539773,23.54030442,rice
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,74.59950861,32.17792434,1.212230457,24.55699974,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,67.21943232,25.0559517,1.059870374,24.70323347,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,76.02789296,25.88223297,1.888056758,16.84820828,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,83.3212387,31.39035533,2.817263322,20.26519185,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,76.53303667,29.0557464,1.147615976,24.07564169,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,85.27832619,26.38985166,2.648439478,21.05484829,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,89.51034869,34.22335486,1.691764645,24.32826501,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,76.16267783,34.93851299,2.216022233,20.3107584,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,67.87535566,33.44609182,1.767563222,21.47174042,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,70.79812344,30.55731724,2.175478607,15.46680676,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,68.18703723,25.71543177,1.337045547,17.57060752,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,72.54216916,30.66907347,2.977880389,23.45817659,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,63.90988796,26.41005353,1.989392966,17.63014673,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,78.96075241,32.90499479,1.856552737,17.73803205,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,69.54590651,34.57186254,2.182880854,24.8264374,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,85.82735198,28.46101168,1.282073761,17.43008957,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,81.27805757,30.29084011,2.197419557,23.46063439,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,67.76496819,28.90046232,2.230879718,23.97269294,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,83.37850555,33.69992809,1.985951118,21.75362662,rice
